line_id,order_id,book_id,price
1,1,1126,15.29
2,4096,5777,6.05
3,6143,10613,17.25
4,8190,5024,13.39
5,9213,11048,19.12
6,10236,8924,2.83
7,10747,3361,1.71
8,11258,5790,6.92
9,11385,1884,16.16
10,2,5925,4.77
11,3,6614,5.14
12,4,5577,14.7
13,4097,1920,13.14
14,4098,8547,17.39
15,4099,467,12.04
16,6144,9835,12.27
17,6145,4635,4.84
18,6146,10673,1.41
19,8191,5296,3.35
20,8192,4565,10.97
21,8193,5689,18.22
22,9214,243,7.51
23,9215,9049,18.78
24,9216,2839,9.17
25,10237,5872,5.26
26,10238,8135,17.34
27,10239,1579,2.16
28,10748,1285,5.05
29,10749,10194,16.47
30,10750,4109,7.51
31,11259,8568,14.47
32,11260,3420,7.33
33,11261,10121,8.98
34,11386,5752,4.74
35,11387,7064,9.26
36,11388,4564,13.24
37,5,874,8.14
38,6,8905,15.61
39,4100,5571,3.25
40,4101,3445,1.22
41,6147,4191,14.0
42,6148,4116,14.99
43,8194,7095,18.8
44,8195,8760,2.33
45,9217,2443,14.98
46,9218,950,3.6
47,10240,7178,13.7
48,10241,5453,7.9
49,10751,5628,6.86
50,10752,2209,19.26
51,11262,2436,4.12
52,11263,4149,4.93
53,11389,1275,16.66
54,11390,9130,12.08
55,7,6218,19.64
56,4102,2602,4.46
57,6149,4589,7.87
58,8196,8134,9.49
59,9219,1987,9.39
60,10242,9036,13.04
61,10753,9171,3.3
62,11264,3914,5.28
63,11391,2939,10.58
64,8,9485,13.51
65,4103,9115,1.41
66,6150,9943,5.15
67,8197,6738,5.12
68,9220,5152,10.95
69,10243,3865,1.89
70,10754,4804,17.49
71,11265,860,15.25
72,11392,6474,12.42
73,9,4006,18.73
74,10,6717,4.16
75,11,2557,10.49
76,4104,10371,1.75
77,4105,7141,18.92
78,4106,8960,3.76
79,6151,5841,1.2
80,6152,8077,8.98
81,6153,756,19.84
82,8198,8415,16.11
83,8199,8440,7.52
84,8200,6734,17.95
85,9221,7476,13.34
86,9222,3545,11.85
87,9223,80,5.15
88,10244,2975,11.27
89,10245,174,7.75
90,10246,9913,5.84
91,10755,8751,1.14
92,10756,10287,9.05
93,10757,5437,1.71
94,11266,10711,11.12
95,11267,9938,15.95
96,11268,3416,2.86
97,11393,8825,10.75
98,11394,3416,18.46
99,11395,7721,14.02
100,12,4696,0.15
101,4107,8596,16.79
102,6154,9800,17.7
103,8201,8695,5.06
104,9224,10254,16.97
105,10247,5306,16.79
106,10758,8524,6.25
107,11269,2940,7.67
108,11396,1385,9.44
109,13,10979,10.36
110,4108,6998,11.82
111,6155,768,11.43
112,8202,7235,10.73
113,9225,8155,1.09
114,10248,815,4.06
115,10759,8851,7.36
116,11270,5053,3.33
117,11397,5229,17.0
118,14,9356,13.08
119,4109,8322,15.55
120,6156,7149,17.62
121,8203,5301,14.8
122,9226,3002,2.59
123,10249,9313,15.95
124,10760,5299,19.78
125,11271,5737,12.23
126,11398,5681,14.37
127,15,670,2.91
128,16,6094,6.03
129,17,9625,8.41
130,4110,5642,5.48
131,4111,9447,8.46
132,4112,6329,11.48
133,6157,1834,2.03
134,6158,136,15.14
135,6159,8331,9.45
136,8204,1301,3.33
137,8205,5361,18.19
138,8206,1143,15.69
139,9227,6843,14.42
140,9228,8463,12.79
141,9229,10191,13.22
142,10250,6201,16.07
143,10251,3835,6.27
144,10252,5934,14.52
145,10761,348,19.55
146,10762,8831,0.72
147,10763,8890,17.74
148,11272,423,10.58
149,11273,5903,1.32
150,11274,8214,9.87
151,11399,2807,15.62
152,11400,1651,7.97
153,11401,6095,10.86
154,18,806,14.65
155,19,4962,0.64
156,4113,9144,0.26
157,4114,6680,19.25
158,6160,115,3.29
159,6161,8813,9.33
160,8207,10652,7.73
161,8208,683,2.93
162,9230,6114,6.15
163,9231,9879,10.35
164,10253,10280,1.34
165,10254,6267,12.31
166,10764,4303,1.75
167,10765,3089,2.51
168,11275,8832,11.86
169,11276,6497,2.8
170,11402,10562,6.51
171,11403,8684,18.51
172,20,3183,13.07
173,4115,4561,1.77
174,6162,2378,16.05
175,8209,4125,8.93
176,9232,1333,5.2
177,10255,10458,18.4
178,10766,8691,2.9
179,11277,4251,9.5
180,11404,2546,14.38
181,21,10113,7.75
182,4116,2339,17.77
183,6163,9047,7.99
184,8210,6204,11.8
185,9233,3075,12.24
186,10256,2576,6.43
187,10767,10150,11.94
188,11278,2770,9.06
189,11405,5772,4.69
190,22,6863,7.6
191,23,555,2.19
192,24,4414,13.11
193,4117,976,9.44
194,4118,1070,1.31
195,4119,423,19.88
196,6164,9526,5.97
197,6165,10284,14.52
198,6166,9526,2.06
199,8211,10544,8.57
200,8212,3339,4.29
201,8213,1919,4.37
202,9234,6406,4.46
203,9235,4310,5.36
204,9236,1976,1.68
205,10257,9868,3.65
206,10258,2811,14.3
207,10259,9095,18.84
208,10768,2866,9.24
209,10769,5977,6.0
210,10770,9888,10.87
211,11279,564,12.46
212,11280,10723,18.98
213,11281,9512,8.54
214,11406,6340,11.36
215,11407,1464,19.06
216,11408,4126,19.89
217,25,9580,6.42
218,4120,243,2.92
219,6167,7408,17.8
220,8214,5040,11.89
221,9237,6837,5.76
222,10260,6650,2.47
223,10771,9183,15.11
224,11282,3365,4.9
225,11409,3527,17.01
226,26,3355,19.12
227,4121,9749,10.25
228,6168,10390,2.63
229,8215,9531,17.76
230,9238,9685,13.77
231,10261,9233,1.69
232,10772,10380,8.22
233,11283,2848,0.94
234,11410,5193,3.85
235,27,6271,4.8
236,4122,5663,16.49
237,6169,6639,10.18
238,8216,8410,5.03
239,9239,11021,3.96
240,10262,206,9.96
241,10773,4848,13.67
242,11284,1243,10.14
243,11411,2228,9.6
244,28,8898,11.17
245,4123,4370,5.77
246,6170,2944,9.14
247,8217,5473,1.76
248,9240,10735,11.2
249,10263,10065,16.87
250,10774,5603,19.74
251,11285,4736,3.33
252,11412,6177,5.53
253,29,7985,15.16
254,30,7101,18.32
255,4124,7418,11.7
256,4125,10281,17.31
257,6171,6190,3.69
258,6172,2814,14.23
259,8218,8888,17.19
260,8219,10035,18.61
261,9241,10534,18.84
262,9242,9688,10.54
263,10264,249,10.62
264,10265,6551,7.0
265,10775,10960,17.48
266,10776,4630,9.16
267,11286,452,16.59
268,11287,297,12.88
269,11413,1563,15.4
270,11414,4766,16.63
271,31,9721,17.47
272,32,8300,2.19
273,4126,3447,4.41
274,4127,1922,4.05
275,6173,5492,17.22
276,6174,9170,10.75
277,8220,2404,9.34
278,8221,7655,0.76
279,9243,1410,10.38
280,9244,2391,10.35
281,10266,10490,3.23
282,10267,10894,8.22
